Region,Query,Mentions,Lat/Long Mentions,Baseline Mentions,Lat/Long Mentions
Macedonia,,156974,10178,156974,10178
Macedonia,#esa2012,0,0,156974,10178
Hong Kong,,152982,69246,152982,69246
Hong Kong,#esa2012,0,0,152982,69246
Taiwan,,144330,52522,144330,52522
Taiwan,#esa2012,0,0,144330,52522
Guadeloupe,,126619,40457,126619,40457
Guadeloupe,#esa2012,0,0,126619,40457
Jordan,,110580,50279,110580,50279
Jordan,#esa2012,0,0,110580,50279
Oman,,108752,50715,108752,50715
Oman,#esa2012,0,0,108752,50715
Kazakhstan,,97031,51934,97031,51934
Kazakhstan,#esa2012,0,0,97031,51934
Bahamas,,95134,61679,95134,61679
Bahamas,#esa2012,0,0,95134,61679
Cyprus,,91095,55713,91095,55713
Cyprus,#esa2012,0,0,91095,55713
Uruguay,,84812,28710,84812,28710
Uruguay,#esa2012,0,0,84812,28710
Estonia,,81009,24287,81009,24287
Estonia,#esa2012,0,0,81009,24287
Lithuania,,72126,10275,72126,10275
Lithuania,#esa2012,0,0,72126,10275
Slovenia,,67863,11030,67863,11030
Slovenia,#esa2012,0,0,67863,11030
Bulgaria,,66528,32194,66528,32194
Bulgaria,#esa2012,0,0,66528,32194
CÌ«te d'Ivoire,,64440,33980,64440,33980
CÌ«te d'Ivoire,#esa2012,0,0,64440,33980
Barbados,,61682,32182,61682,32182
Barbados,#esa2012,0,0,61682,32182
Trinidad and Tobago,,55463,28587,55463,28587
Trinidad and Tobago,#esa2012,0,0,55463,28587
Azerbaijan,,50295,25238,50295,25238
Azerbaijan,#esa2012,0,0,50295,25238
Tunisia,,48168,22780,48168,22780
Tunisia,#esa2012,0,0,48168,22780
Virgin Islands,#esa2012,42277,15277,42277,15277
Virgin Islands,#esa2012,0,0,42277,15277
Mongolia,,41291,15026,41291,15026
Mongolia,#esa2012,0,0,41291,15026
Antigua and Barbuda,,37753,13491,37753,13491
Antigua and Barbuda,#esa2012,0,0,37753,13491
Nepal,,33361,14137,33361,14137
Nepal,#esa2012,0,0,33361,14137
Botswana,,32950,7585,32950,7585
Botswana,#esa2012,0,0,32950,7585
Bolivia,,29111,8807,29111,8807
Bolivia,#esa2012,0,0,29111,8807
Iceland,,27222,9485,27222,9485
Iceland,#esa2012,0,0,27222,9485
Armenia,,26020,5600,26020,5600
Armenia,#esa2012,0,0,26020,5600
Senegal,,25173,15667,25173,15667
Senegal,#esa2012,0,0,25173,15667
Cameroon,,25090,11324,25090,11324
Cameroon,#esa2012,0,0,25090,11324
Slovakia,,24668,9761,24668,9761
Slovakia,#esa2012,0,0,24668,9761
Malawi,,23283,12962,23283,12962
Malawi,#esa2012,0,0,23283,12962
Iraq,,21769,16104,21769,16104
Iraq,#esa2012,0,0,21769,16104
Algeria,,20734,16414,20734,16414
Algeria,#esa2012,0,0,20734,16414
Haiti,,20067,7768,20067,7768
Haiti,#esa2012,0,0,20067,7768
Saint Vincent and the Grenadines,,19351,13486,19351,13486
Saint Vincent and the Grenadines,#esa2012,0,0,19351,13486
Iran,,19336,9435,19336,9435
Iran,#esa2012,0,0,19336,9435
Saint Lucia,,18534,14963,18534,14963
Saint Lucia,#esa2012,0,0,18534,14963
Libya,,18170,8419,18170,8419
Libya,#esa2012,0,0,18170,8419
Luxembourg,,17949,8787,17949,8787
Luxembourg,#esa2012,0,0,17949,8787
Bosnia and Herzegovina,,17242,7907,17242,7907
Bosnia and Herzegovina,#esa2012,0,0,17242,7907
Cambodia,,16825,7995,16825,7995
Cambodia,#esa2012,0,0,16825,7995
French Guiana,,16465,11530,16465,11530
French Guiana,#esa2012,0,0,16465,11530
Namibia,,16287,9744,16287,9744
Namibia,#esa2012,0,0,16287,9744
Mozambique,,16131,6809,16131,6809
Mozambique,#esa2012,0,0,16131,6809
Zambia,,15878,8430,15878,8430
Zambia,#esa2012,0,0,15878,8430
Syria,,15767,3690,15767,3690
Syria,#esa2012,0,0,15767,3690
Uzbekistan,,15715,8327,15715,8327
Uzbekistan,#esa2012,0,0,15715,8327
Democratic Republic of the Congo,,15046,5013,15046,5013
Democratic Republic of the Congo,#esa2012,0,0,15046,5013
Netherlands Antilles,,14563,10591,14563,10591
Netherlands Antilles,#esa2012,0,0,14563,10591
Georgia,,14473,6832,14473,6832
Georgia,#esa2012,0,0,14473,6832
Gibraltar,,14337,2505,14337,2505
Gibraltar,#esa2012,0,0,14337,2505
Andorra,,14219,2489,14219,2489
Andorra,#esa2012,0,0,14219,2489
Kyrgyzstan,,13775,7742,13775,7742
Kyrgyzstan,#esa2012,0,0,13775,7742
Palestine,,10872,8209,10872,8209
Palestine,#esa2012,0,0,10872,8209
Zimbabwe,,10369,5660,10369,5660
Zimbabwe,#esa2012,0,0,10369,5660
Sudan,,9728,5087,9728,5087
Sudan,#esa2012,0,0,9728,5087
Laos,,9692,3380,9692,3380
Laos,#esa2012,0,0,9692,3380
Yemen,,9253,4102,9253,4102
Yemen,#esa2012,0,0,9253,4102
Reunion,,9162,4720,9162,4720
Reunion,#esa2012,0,0,9162,4720
Mauritius,,8745,5320,8745,5320
Mauritius,#esa2012,0,0,8745,5320
Cayman Islands,,8635,5314,8635,5314
Cayman Islands,#esa2012,0,0,8635,5314
Macao,,8302,4818,8302,4818
Macao,#esa2012,0,0,8302,4818
Suriname,,8296,5245,8296,5245
Suriname,#esa2012,0,0,8296,5245
Moldova,,8154,4765,8154,4765
Moldova,#esa2012,0,0,8154,4765
Benin,,7978,4378,7978,4378
Benin,#esa2012,0,0,7978,4378
Guam,,7972,4320,7972,4320
Guam,#esa2012,0,0,7972,4320
Afghanistan,,7854,5751,7854,5751
Afghanistan,#esa2012,0,0,7854,5751
Monaco,,7263,5950,7263,5950
Monaco,#esa2012,0,0,7263,5950
Angola,,7200,2730,7200,2730
Angola,#esa2012,0,0,7200,2730
Bermuda,,6749,5193,6749,5193
Bermuda,#esa2012,0,0,6749,5193
Guyana,,5327,3224,5327,3224
Guyana,#esa2012,0,0,5327,3224
Albania,,5291,4050,5291,4050
Albania,#esa2012,0,0,5291,4050
Grenada,,4253,1237,4253,1237
Grenada,#esa2012,0,0,4253,1237
Gabon,,3845,2135,3845,2135
Gabon,#esa2012,0,0,3845,2135
ÌÉland,,3781,1097,3781,1097
ÌÉland,#esa2012,0,0,3781,1097
Mauritania,,3735,2106,3735,2106
Mauritania,#esa2012,0,0,3735,2106
North Korea,,3590,472,3590,472
North Korea,#esa2012,0,0,3590,472
Rwanda,,3381,1326,3381,1326
Rwanda,#esa2012,0,0,3381,1326
Ethiopia,,3255,1164,3255,1164
Ethiopia,#esa2012,0,0,3255,1164
Cuba,,2977,841,2977,841
Cuba,#esa2012,0,0,2977,841
Myanmar,,2930,2749,2930,2749
Myanmar,#esa2012,0,0,2930,2749
San Marino,,2674,1945,2674,1945
San Marino,#esa2012,0,0,2674,1945
Fiji,,2579,908,2579,908
Fiji,#esa2012,0,0,2579,908
Gambia,,2507,1539,2507,1539
Gambia,#esa2012,0,0,2507,1539
Mali,,2142,1928,2142,1928
Mali,#esa2012,0,0,2142,1928
Madagascar,,2087,1371,2087,1371
Madagascar,#esa2012,0,0,2087,1371
Turkmenistan,,2065,1923,2065,1923
Turkmenistan,#esa2012,0,0,2065,1923
Belize,,1913,990,1913,990
Belize,#esa2012,0,0,1913,990
Burkina Faso,,1792,794,1792,794
Burkina Faso,#esa2012,0,0,1792,794
Guinea,,1489,839,1489,839
Guinea,#esa2012,0,0,1489,839
Vanuatu,,1414,1414,1414,1414
Vanuatu,#esa2012,0,0,1414,1414
Burundi,,1378,651,1378,651
Burundi,#esa2012,0,0,1378,651
Northern Mariana Islands,,1359,949,1359,949
Northern Mariana Islands,#esa2012,0,0,1359,949
Dominica,,1178,1103,1178,1103
Dominica,#esa2012,0,0,1178,1103
Saint Kitts and Nevis,,1167,1143,1167,1143
Saint Kitts and Nevis,#esa2012,0,0,1167,1143
Papua New Guinea,,1119,833,1119,833
Papua New Guinea,#esa2012,0,0,1119,833
Republic of Congo,,1051,1049,1051,1049
Republic of Congo,#esa2012,0,0,1051,1049
New Caledonia,,1041,663,1041,663
New Caledonia,#esa2012,0,0,1041,663
Togo,,910,516,910,516
Togo,#esa2012,0,0,910,516
Sierra Leone,,669,410,669,410
Sierra Leone,#esa2012,0,0,669,410
Somalia,,663,233,663,233
Somalia,#esa2012,0,0,663,233
Samoa,,653,280,653,280
Samoa,#esa2012,0,0,653,280
Lesotho,,599,599,599,599
Lesotho,#esa2012,0,0,599,599
Swaziland,,569,378,569,378
Swaziland,#esa2012,0,0,569,378
Cape Verde,,525,525,525,525
Cape Verde,#esa2012,0,0,525,525
Solomon Islands,,491,247,491,247
Solomon Islands,#esa2012,0,0,491,247
Liberia,,446,252,446,252
Liberia,#esa2012,0,0,446,252
Equatorial Guinea,,404,217,404,217
Equatorial Guinea,#esa2012,0,0,404,217
Greenland,,397,395,397,395
Greenland,#esa2012,0,0,397,395
East Timor,,383,155,383,155
East Timor,#esa2012,0,0,383,155
Niger,,373,369,373,369
Niger,#esa2012,0,0,373,369
Tajikistan,,299,274,299,274
Tajikistan,#esa2012,0,0,299,274
Liechtenstein,,289,282,289,282
Liechtenstein,#esa2012,0,0,289,282
Bhutan,,284,143,284,143
Bhutan,#esa2012,0,0,284,143
Svalbard and Jan Mayen,,208,111,208,111
Svalbard and Jan Mayen,#esa2012,0,0,208,111
Djibouti,,180,107,180,107
Djibouti,#esa2012,0,0,180,107
Central African Republic,,158,158,158,158
Central African Republic,#esa2012,0,0,158,158
Faroe Islands,,142,142,142,142
Faroe Islands,#esa2012,0,0,142,142
Comoros,,118,118,118,118
Comoros,#esa2012,0,0,118,118
Chad,,115,115,115,115
Chad,#esa2012,0,0,115,115
Tonga,,80,80,80,80
Tonga,#esa2012,0,0,80,80
Guinea-Bissau,,49,49,49,49
Guinea-Bissau,#esa2012,0,0,49,49
American Samoa,,48,48,48,48
American Samoa,#esa2012,0,0,48,48
Western Sahara,,23,23,23,23
Western Sahara,#esa2012,0,0,23,23
Nauru,,22,22,22,22
Nauru,#esa2012,0,0,22,22
Saint Pierre and Miquelon,,13,13,13,13
Saint Pierre and Miquelon,#esa2012,0,0,13,13
Palau,,9,9,9,9
Palau,#esa2012,0,0,9,9
Eritrea,,7,7,7,7
Eritrea,#esa2012,0,0,7,7
Micronesia,,3,3,3,3
Micronesia,#esa2012,0,0,3,3
United States Minor Outlying Islands,,1,1,1,1
United States Minor Outlying Islands,#esa2012,0,0,1,1
Sao Tome and Principe,,1,1,1,1
Sao Tome and Principe,#esa2012,0,0,1,1
Saint Helena,,1,1,1,1
Saint Helena,#esa2012,0,0,1,1
French Southern Territories,,1,1,1,1
French Southern Territories,#esa2012,0,0,1,1
Wallis and Futuna,,0,0,0,0
Wallis and Futuna,#esa2012,0,0,0,0
British Virgin Islands,,0,0,0,0
British Virgin Islands,#esa2012,0,0,0,0
Vatican City,,0,0,0,0
Vatican City,#esa2012,0,0,0,0
Tuvalu,,0,0,0,0
Tuvalu,#esa2012,0,0,0,0
Tokelau,,0,0,0,0
Tokelau,#esa2012,0,0,0,0
Turks and Caicos Islands,,0,0,0,0
Turks and Caicos Islands,#esa2012,0,0,0,0
Seychelles,,0,0,0,0
Seychelles,#esa2012,0,0,0,0
South Georgia and the South Sandwich Islands,,0,0,0,0
South Georgia and the South Sandwich Islands,#esa2012,0,0,0,0
French Polynesia,,0,0,0,0
French Polynesia,#esa2012,0,0,0,0
Puerto Rico,,0,0,0,0
Puerto Rico,#esa2012,0,0,0,0
Pitcairn Islands,,0,0,0,0
Pitcairn Islands,#esa2012,0,0,0,0
Niue,,0,0,0,0
Niue,#esa2012,0,0,0,0
Norfolk Island,,0,0,0,0
Norfolk Island,#esa2012,0,0,0,0
Mayotte,,0,0,0,0
Mayotte,#esa2012,0,0,0,0
Montserrat,,0,0,0,0
Montserrat,#esa2012,0,0,0,0
Malta,,0,0,0,0
Malta,#esa2012,0,0,0,0
Marshall Islands,,0,0,0,0
Marshall Islands,#esa2012,0,0,0,0
Maldives,,0,0,0,0
Maldives,#esa2012,0,0,0,0
Kiribati,,0,0,0,0
Kiribati,#esa2012,0,0,0,0
British Indian Ocean Territory,,0,0,0,0
British Indian Ocean Territory,#esa2012,0,0,0,0
Heard Island and McDonald Islands,,0,0,0,0
Heard Island and McDonald Islands,#esa2012,0,0,0,0
Falkland Islands,,0,0,0,0
Falkland Islands,#esa2012,0,0,0,0
Christmas Island,,0,0,0,0
Christmas Island,#esa2012,0,0,0,0
Cook Islands,,0,0,0,0
Cook Islands,#esa2012,0,0,0,0
Cocos Islands,,0,0,0,0
Cocos Islands,#esa2012,0,0,0,0
Bouvet Island,,0,0,0,0
Bouvet Island,#esa2012,0,0,0,0
Antarctica,,0,0,0,0
Antarctica,#esa2012,0,0,0,0
Anguilla,,0,0,0,0
Anguilla,#esa2012,0,0,0,0
Aruba,,0,0,0,0
Aruba,#esa2012,0,0,0,0
