acceleration,author_author_img,author_description,author_image_url,author_influence_level,author_name,author_nick,author_topsy_author_url,author_type,author_url,firstpost_date,highlight,influential,metrics,momentum,peak,score,title,trackback_date,trackback_total,type,url
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1510101426/twitter_normal.png,rOpenSci is a project that aims to develop R-based tools to facilitate open science.,http://a0.twimg.com/profile_images/1510101426/twitter_normal.png,0,rOpenSci,ropensci,http://topsy.com/twitter/ropensci?utm_source=otter,twitter,http://twitter.com/ropensci,"Aug 08, 2012 22:51 (UTC)",How do I find and get data out there on the interwebs? Come tomorrow at lunch -&gt; http://t.co/x6GjWmpp #esa2012,0,,0,0,6.68292,How do I find and get data out there on the interwebs? Come tomorrow at lunch -&gt; http://t.co/x6GjWmpp #esa2012,"Aug 08, 2012 22:51 (UTC)",1,tweet,http://twitter.com/ropensci/status/233334663802925056
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2204692684/IMG_2828_normal.jpg,"Forest-lover, ecologist, PhD candidate, cyclist. My research integrates the disciplines of ecology, landscape genetics, and forest conservation. ",http://a0.twimg.com/profile_images/2204692684/IMG_2828_normal.jpg,0,Sarah Bisbing,sarahbisbing,http://topsy.com/twitter/sarahbisbing?utm_source=otter,twitter,http://twitter.com/sarahbisbing,"Aug 06, 2012 01:45 (UTC)",@kelly_sierra my pre- #ESA2012 fuel! http://t.co/aBsjUKM3,0,,0,0,6.68506,@kelly_sierra my pre- #ESA2012 fuel! http://t.co/aBsjUKM3,"Aug 06, 2012 01:45 (UTC)",1,tweet,http://twitter.com/sarahbisbing/status/232291215868043265
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2461092968/djrkcxj7ns34k8zkiucj_normal.jpeg,"sailing, surf, sand, scuba... A keen interest in the Ocean, its health and conservation.",http://a0.twimg.com/profile_images/2461092968/djrkcxj7ns34k8zkiucj_normal.jpeg,0,john sexton,diverdutch,http://topsy.com/twitter/diverdutch?utm_source=otter,twitter,http://twitter.com/diverdutch,"Aug 10, 2012 22:32 (UTC)","A reminder for those at #ESA2012: postdoc opportunities at @unimelb. Great research, top salary, 3 years http://t.co/kLtHIdWI via @qaecology",0,,0,0,6.6927,"A reminder for those at #ESA2012: postdoc opportunities at @unimelb. Great research, top salary, 3 years http://t.co/kLtHIdWI via @qaecology","Aug 10, 2012 22:32 (UTC)",1,tweet,http://twitter.com/diverdutch/status/234054718790455296
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2430316266/q4elus3qxs6jhglkkneq_normal.jpeg,"I help people who love science tell their stories. Writer, editor, connector, mastermind.",http://a0.twimg.com/profile_images/2430316266/q4elus3qxs6jhglkkneq_normal.jpeg,0,Eve Rickert,talksciencetome,http://topsy.com/twitter/talksciencetome?utm_source=otter,twitter,http://twitter.com/talksciencetome,"Aug 06, 2012 17:19 (UTC)",Goddamn that&#39;s a lot of coffee. #ESA2012 http://t.co/qCFpRdu4,0,,0,0,6.69327,Goddamn that&#39;s a lot of coffee. #ESA2012 http://t.co/qCFpRdu4,"Aug 06, 2012 17:19 (UTC)",1,tweet,http://twitter.com/talksciencetome/status/232526272717266944
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1876062966/chiquita_normal.png,"Known as @zimfreak, i got hacked (thank you mother fucking twitter virus). Fun,marine,surrealist,hyper,nerdy person that grows on yah",http://a0.twimg.com/profile_images/1876062966/chiquita_normal.png,0,Nats Lofish î‘Å,starfishnats,http://topsy.com/twitter/starfishnats?utm_source=otter,twitter,http://twitter.com/starfishnats,"Aug 06, 2012 17:31 (UTC)",Awesome Dragon #chinese #dragon #portland #oregon #esa2012 #seeds #ecology #scie  @ Oregon Convention Center http://t.co/NzjM4i5w,0,,0,0,6.69526,Awesome Dragon #chinese #dragon #portland #oregon #esa2012 #seeds #ecology #scie  @ Oregon Convention Center http://t.co/NzjM4i5w,"Aug 06, 2012 17:31 (UTC)",1,tweet,http://twitter.com/starfishnats/status/232529319841386497
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2306387979/photo_normal.JPG,"Spatial landscape forest fire climate disturbance modeler ecologist, mom of 2, love ballet and camping",http://a0.twimg.com/profile_images/2306387979/photo_normal.JPG,0,Inga Parker La Puma,ingaplapuma,http://topsy.com/twitter/ingaplapuma?utm_source=otter,twitter,http://twitter.com/ingaplapuma,"Aug 08, 2012 18:49 (UTC)",Cats killing more wildlife than previously thought - the Telegraph #ESA2012 http://t.co/72lpRmXg,0,,0,0,6.69642,Cats killing more wildlife than previously thought - the Telegraph #ESA2012 http://t.co/72lpRmXg,"Aug 08, 2012 18:49 (UTC)",1,tweet,http://twitter.com/ingaplapuma/status/233273660327198720
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1746538464/profilePic_normal.jpg,"Biologist, interested in ecology, biodiversity, and natural resource management. Previously, free-lance musician (french horn). ",http://a0.twimg.com/profile_images/1746538464/profilePic_normal.jpg,0,Luca Borger,lucaborger,http://topsy.com/twitter/lucaborger?utm_source=otter,twitter,http://twitter.com/lucaborger,"Aug 08, 2012 20:15 (UTC)",Cats killing more wildlife than previously thought - the Telegraph #ESA2012 http://t.co/72lpRmXg,0,,0,0,6.69642,Cats killing more wildlife than previously thought - the Telegraph #ESA2012 http://t.co/72lpRmXg,"Aug 08, 2012 20:15 (UTC)",1,tweet,http://twitter.com/lucaborger/status/233295281003847681
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2427574663/ix0f17jytj9cgfa0gz6w_normal.jpeg,"scientist, chocolaholic, occasional user of wit",http://a0.twimg.com/profile_images/2427574663/ix0f17jytj9cgfa0gz6w_normal.jpeg,0,Kylie Soanes,kyliesoanes,http://topsy.com/twitter/kyliesoanes?utm_source=otter,twitter,http://twitter.com/kyliesoanes,"Aug 08, 2012 21:51 (UTC)",Cats killing more wildlife than previously thought - the Telegraph #ESA2012 http://t.co/72lpRmXg,0,,0,0,6.69642,Cats killing more wildlife than previously thought - the Telegraph #ESA2012 http://t.co/72lpRmXg,"Aug 08, 2012 21:51 (UTC)",1,tweet,http://twitter.com/kyliesoanes/status/233319660802695168
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2472740895/AKent_normal.jpg,"Microbial ecologist by day, very amateur dog trainer by night",http://a0.twimg.com/profile_images/2472740895/AKent_normal.jpg,0,Angela Kent,angelakent11,http://topsy.com/twitter/angelakent11?utm_source=otter,twitter,http://twitter.com/angelakent11,"Aug 06, 2012 19:21 (UTC)",Come by the ESA Microbial Ecology Section Booth and &quot;Put a Microbe on It!&quot; #ESA2012 http://t.co/PjOEGrIG,0,,0,0,6.69836,Come by the ESA Microbial Ecology Section Booth and &quot;Put a Microbe on It!&quot; #ESA2012 http://t.co/PjOEGrIG,"Aug 06, 2012 19:21 (UTC)",1,tweet,http://twitter.com/angelakent11/status/232557088470097920
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2049972927/Eco-cultures-Logo-1_normal.jpg,Research on community sustainability and resilience. ,http://a0.twimg.com/profile_images/2049972927/Eco-cultures-Logo-1_normal.jpg,0,Ecocultures,ecocultureessex,http://topsy.com/twitter/ecocultureessex?utm_source=otter,twitter,http://twitter.com/ecocultureessex,"Aug 07, 2012 00:01 (UTC)","If you go, let us know! A plenary on indigenous environmental knowledge at #ESA2012 http://t.co/qVcmAOza",0,,0,0,6.69899,"If you go, let us know! A plenary on indigenous environmental knowledge at #ESA2012 http://t.co/qVcmAOza","Aug 07, 2012 00:01 (UTC)",1,tweet,http://twitter.com/ecocultureessex/status/232627606946729984
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,EREN is the Ecological Research as Education Network.  This is a collaborative group of ecologists at primarily undergraduate institutions of higher learning.,http://a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,0,EcoResearchEdNetwork,erenweb,http://topsy.com/twitter/erenweb?utm_source=otter,twitter,http://twitter.com/erenweb,"Aug 09, 2012 02:41 (UTC)",EREN table at Diversity Mixer at #ESA2012. @ESA_org http://t.co/hqJzwvSU,0,,0,0,6.69996,EREN table at Diversity Mixer at #ESA2012. @ESA_org http://t.co/hqJzwvSU,"Aug 09, 2012 02:41 (UTC)",1,tweet,http://twitter.com/erenweb/status/233392489615204353
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2245251005/headshot_copy_normal.jpg,"In no particular order - Scientist, ecologist, executive director of @theGSBI at CSU, runner, domestic goddess",http://a0.twimg.com/profile_images/2245251005/headshot_copy_normal.jpg,0,Kelly Sierra Ramirez,kelly_sierra,http://topsy.com/twitter/kelly_sierra?utm_source=otter,twitter,http://twitter.com/kelly_sierra,"Aug 06, 2012 01:38 (UTC)",Fuel before #ESA2012 http://t.co/NctwiUN1,0,,0,0,6.70615,Fuel before #ESA2012 http://t.co/NctwiUN1,"Aug 06, 2012 01:38 (UTC)",1,tweet,http://twitter.com/kelly_sierra/status/232289556546867200
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1923182781/FG_logo_grayscale_normal.jpg,"Our mission is to promote ecologically, economically, and socially responsible forestry",http://a0.twimg.com/profile_images/1923182781/FG_logo_grayscale_normal.jpg,0,Forest Guild,forestguild,http://topsy.com/twitter/forestguild?utm_source=otter,twitter,http://twitter.com/forestguild,"Aug 10, 2012 17:18 (UTC)",Still scratching my head: @ESA_org: Tree&#39;s leaves genetically different from its roots @naturenews @edyong209 #ESA2012 http://t.co/AhzY0gn8,0,,0,0,6.70618,Still scratching my head: @ESA_org: Tree&#39;s leaves genetically different from its roots @naturenews @edyong209 #ESA2012 http://t.co/AhzY0gn8,"Aug 10, 2012 17:18 (UTC)",1,tweet,http://twitter.com/forestguild/status/233975628813193218
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2132455509/dill-pickles.s600x600_normal.jpg,,http://a0.twimg.com/profile_images/2132455509/dill-pickles.s600x600_normal.jpg,0,doctor p.,doctor_pickles,http://topsy.com/twitter/doctor_pickles?utm_source=otter,twitter,http://twitter.com/doctor_pickles,"Aug 09, 2012 03:41 (UTC)",Hanging with John and Sara. #ESA2012 (@ Coalition Brewing Co.) http://t.co/ngcf8wtx,0,,0,0,6.70619,Hanging with John and Sara. #ESA2012 (@ Coalition Brewing Co.) http://t.co/ngcf8wtx,"Aug 09, 2012 03:41 (UTC)",1,tweet,http://twitter.com/doctor_pickles/status/233407515495374848
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,EREN is the Ecological Research as Education Network.  This is a collaborative group of ecologists at primarily undergraduate institutions of higher learning.,http://a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,0,EcoResearchEdNetwork,erenweb,http://topsy.com/twitter/erenweb?utm_source=otter,twitter,http://twitter.com/erenweb,"Aug 08, 2012 04:57 (UTC)",Carolyn Thomas discusses Smith Mountain Lake poster during #ESA2012 http://t.co/ZGIUoPKm,0,,0,0,6.70702,Carolyn Thomas discusses Smith Mountain Lake poster during #ESA2012 http://t.co/ZGIUoPKm,"Aug 08, 2012 04:57 (UTC)",1,tweet,http://twitter.com/erenweb/status/233064483222847489
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2471921925/qxnm24xullux5c9btk9v_normal.png,Taking the subjectâ€™s side in public but the objectâ€™s side in private.,http://a0.twimg.com/profile_images/2471921925/qxnm24xullux5c9btk9v_normal.png,0,Charlie Loyd,vruba,http://topsy.com/twitter/vruba?utm_source=otter,twitter,http://twitter.com/vruba,"Aug 06, 2012 22:33 (UTC)",. @MiriamGoldsteâ€™s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26,0,,0,0,6.70807,. @MiriamGoldsteâ€™s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26,"Aug 06, 2012 22:33 (UTC)",1,tweet,http://twitter.com/vruba/status/232605246201950208
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1689450211/regalhairstreak_normal.jpg,Ecologist. Conservation Biologist. Environmental Scientist. Lepidopterist. Ptarmigan. Etc.,http://a0.twimg.com/profile_images/1689450211/regalhairstreak_normal.jpg,0,Timothy Bonebrake,bonebraking,http://topsy.com/twitter/bonebraking?utm_source=otter,twitter,http://twitter.com/bonebraking,"Aug 07, 2012 07:51 (UTC)",. @MiriamGoldsteâ€™s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26,0,,0,0,6.70807,. @MiriamGoldsteâ€™s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26,"Aug 07, 2012 07:51 (UTC)",1,tweet,http://twitter.com/bonebraking/status/232745751116124160
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,"Practicing science synthesis and communication for UW College of the Environment. Fueled by science, yoga, wild places, husband, dogs, gardens, wonderment, joy",http://a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,0,Jen Davison,jenedavison,http://topsy.com/twitter/jenedavison?utm_source=otter,twitter,http://twitter.com/jenedavison,"Aug 10, 2012 17:45 (UTC)",Mascaro&#39;s Stanford/Carnegie web page: http://t.co/kULieu9O #ESA2012,0,,0,0,6.71162,Mascaro&#39;s Stanford/Carnegie web page: http://t.co/kULieu9O #ESA2012,"Aug 10, 2012 17:45 (UTC)",1,tweet,http://twitter.com/jenedavison/status/233982481160892416
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1674373435/myphoto2_normal.jpg,"UCSC Science communication grad student. Specialties: environment, energy, high-tech, low-tech, robots.",http://a0.twimg.com/profile_images/1674373435/myphoto2_normal.jpg,0,Sandra M. Chung,sandramchung,http://topsy.com/twitter/sandramchung?utm_source=otter,twitter,http://twitter.com/sandramchung,"Aug 13, 2012 17:48 (UTC)",hahah! #kittehz4science RT @bonebraking: I can haz ecology meetingz? #ESA2012 http://t.co/oXrFbIH4,0,,0,0,6.71233,hahah! #kittehz4science RT @bonebraking: I can haz ecology meetingz? #ESA2012 http://t.co/oXrFbIH4,"Aug 13, 2012 17:48 (UTC)",1,tweet,http://twitter.com/sandramchung/status/235070415393943552
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/77625576/esa_normal.jpg,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for updates on membership, meetings, blogs, podcasts, and more!",http://a0.twimg.com/profile_images/77625576/esa_normal.jpg,0,Ecological Society,esa_org,http://topsy.com/twitter/esa_org?utm_source=otter,twitter,http://twitter.com/esa_org,"Jul 30, 2012 21:34 (UTC)","â€œA History of the Ecological Sciences&quot; by F. Egerton for @ESA_org, series of #histsci articles: http://t.co/oGkgRwAx #esa2012 #ecology",0,,0,0,6.71567,"â€œA History of the Ecological Sciences&quot; by F. Egerton for @ESA_org, series of #histsci articles: http://t.co/oGkgRwAx #esa2012 #ecology","Jul 30, 2012 21:34 (UTC)",1,tweet,http://twitter.com/esa_org/status/230053719503429633
64,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2204692684/IMG_2828_normal.jpg,"Forest-lover, ecologist, PhD candidate, cyclist. My research integrates the disciplines of ecology, landscape genetics, and forest conservation. ",http://a0.twimg.com/profile_images/2204692684/IMG_2828_normal.jpg,0,Sarah Bisbing,sarahbisbing,http://topsy.com/twitter/sarahbisbing?utm_source=otter,twitter,http://twitter.com/sarahbisbing,"Aug 10, 2012 16:31 (UTC)",#ff Adding more to @JacquelynGill list: An ecology #ff in honor of #ESA2012. @NREL_EcoPress @edyong209 @IceAgeEcologist @kelly_sierra,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,11,6.71662,#ff Adding more to @JacquelynGill list: An ecology #ff in honor of #ESA2012. @NREL_EcoPress @edyong209 @IceAgeEcologist @kelly_sierra,"Aug 10, 2012 16:31 (UTC)",2,tweet,http://twitter.com/sarahbisbing/status/233963839631269888
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2132455509/dill-pickles.s600x600_normal.jpg,,http://a0.twimg.com/profile_images/2132455509/dill-pickles.s600x600_normal.jpg,0,doctor p.,doctor_pickles,http://topsy.com/twitter/doctor_pickles?utm_source=otter,twitter,http://twitter.com/doctor_pickles,"Aug 10, 2012 19:38 (UTC)",Lunch with friends. #esa2012 (@ Goose Hollow Inn) http://t.co/WjS5en0e,0,,0,0,6.73196,Lunch with friends. #esa2012 (@ Goose Hollow Inn) http://t.co/WjS5en0e,"Aug 10, 2012 19:38 (UTC)",1,tweet,http://twitter.com/doctor_pickles/status/234010848144809984
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,EREN is the Ecological Research as Education Network.  This is a collaborative group of ecologists at primarily undergraduate institutions of higher learning.,http://a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,0,EcoResearchEdNetwork,erenweb,http://topsy.com/twitter/erenweb?utm_source=otter,twitter,http://twitter.com/erenweb,"Aug 04, 2012 16:30 (UTC)","For your plane or train reading, a PDF of the program is available. Author index is complete in print. http://t.co/whnGpu5s #ESA2012",0,,0,0,6.73426,"For your plane or train reading, a PDF of the program is available. Author index is complete in print. http://t.co/whnGpu5s #ESA2012","Aug 04, 2012 16:30 (UTC)",1,tweet,http://twitter.com/erenweb/status/231789213849374721
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/712950134/5531_623767004172_41107139_36850389_5382379_n_normal.jpg,I'm a grad student growing a marine algae in the middle of the Chihuahuan Desert in order to save the world.,http://a0.twimg.com/profile_images/712950134/5531_623767004172_41107139_36850389_5382379_n_normal.jpg,0,Meridith Bartley,alwaysscientist,http://topsy.com/twitter/alwaysscientist?utm_source=otter,twitter,http://twitter.com/alwaysscientist,"Aug 07, 2012 01:14 (UTC)",Forget giving a mouse a cookie. Careful when you offer an ecologist a beer. #esa2012 http://t.co/kzOe7VVQ,0,,0,0,6.73695,Forget giving a mouse a cookie. Careful when you offer an ecologist a beer. #esa2012 http://t.co/kzOe7VVQ,"Aug 07, 2012 01:14 (UTC)",1,tweet,http://twitter.com/alwaysscientist/status/232645931877683200
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1260584086/me_at_work_normal.jpg,"Interests: the environment, urban mobility, social equality. Favourite things: travel, photography, nature, sport, football, maps...",http://a0.twimg.com/profile_images/1260584086/me_at_work_normal.jpg,0,James Bonner,jamesbonner82,http://topsy.com/twitter/jamesbonner82?utm_source=otter,twitter,http://twitter.com/jamesbonner82,"Aug 07, 2012 13:51 (UTC)",#BiodiverCity: Cities and Biodiversity Outlook has 10 key messages: http://t.co/49icfvV0 #ESA2012 #urbanecology,0,,0,0,6.7376,#BiodiverCity: Cities and Biodiversity Outlook has 10 key messages: http://t.co/49icfvV0 #ESA2012 #urbanecology,"Aug 07, 2012 13:51 (UTC)",1,tweet,http://twitter.com/jamesbonner82/status/232836386603020288
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,EREN is the Ecological Research as Education Network.  This is a collaborative group of ecologists at primarily undergraduate institutions of higher learning.,http://a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,0,EcoResearchEdNetwork,erenweb,http://topsy.com/twitter/erenweb?utm_source=otter,twitter,http://twitter.com/erenweb,"Aug 08, 2012 15:07 (UTC)","Kathy Shea, EREN leadership team member at ESA fun run in Portland. #ESA2012 http://t.co/CWfSqHtW",0,,0,0,6.73773,"Kathy Shea, EREN leadership team member at ESA fun run in Portland. #ESA2012 http://t.co/CWfSqHtW","Aug 08, 2012 15:07 (UTC)",1,tweet,http://twitter.com/erenweb/status/233217862158938113
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1889837485/Emre_normal.jpg,"Ozgun Emre Can, PhD | Conservation Biologist | University of Oxford.",http://a0.twimg.com/profile_images/1889837485/Emre_normal.jpg,0,Ozgun Emre Can,ozgunemrecan,http://topsy.com/twitter/ozgunemrecan?utm_source=otter,twitter,http://twitter.com/ozgunemrecan,"Jul 30, 2012 21:58 (UTC)","â€œA History of the Ecological Sciences&quot; by F. Egerton for @ESA_org, series of #histsci articles: http://t.co/oGkgRwAx #esa2012 #ecology",0,,0,0,6.73848,"â€œA History of the Ecological Sciences&quot; by F. Egerton for @ESA_org, series of #histsci articles: http://t.co/oGkgRwAx #esa2012 #ecology","Jul 30, 2012 21:58 (UTC)",1,tweet,http://twitter.com/ozgunemrecan/status/230059885998522370
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2132455509/dill-pickles.s600x600_normal.jpg,,http://a0.twimg.com/profile_images/2132455509/dill-pickles.s600x600_normal.jpg,0,doctor p.,doctor_pickles,http://topsy.com/twitter/doctor_pickles?utm_source=otter,twitter,http://twitter.com/doctor_pickles,"Aug 07, 2012 04:41 (UTC)","Hey #ESA2012 cocktail snobs, this is where you should be! (@ Rum Club) http://t.co/ByCcsvxW",0,,0,0,6.73875,"Hey #ESA2012 cocktail snobs, this is where you should be! (@ Rum Club) http://t.co/ByCcsvxW","Aug 07, 2012 04:41 (UTC)",1,tweet,http://twitter.com/doctor_pickles/status/232697878810861569
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2457825168/photo-on-6-11-12-at-9-50-pm-2-300x199_normal.jpg,runner. ecologist.,http://a0.twimg.com/profile_images/2457825168/photo-on-6-11-12-at-9-50-pm-2-300x199_normal.jpg,0,christopherlortie,cjlortie,http://topsy.com/twitter/cjlortie?utm_source=otter,twitter,http://twitter.com/cjlortie,"Aug 07, 2012 18:48 (UTC)",5min tweet talks at future esa. http://t.co/WklPMRjV #ESA2012,0,,0,0,6.74072,5min tweet talks at future esa. http://t.co/WklPMRjV #ESA2012,"Aug 07, 2012 18:48 (UTC)",1,tweet,http://twitter.com/cjlortie/status/232911089921294338
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2515073419/d0217365-f113-4ab8-b62b-12f7ab07dcf6_normal.png,Visiting Further Education Lecturer,http://a0.twimg.com/profile_images/2515073419/d0217365-f113-4ab8-b62b-12f7ab07dcf6_normal.png,0,Geoff Walker,geoffreyawalker,http://topsy.com/twitter/geoffreyawalker?utm_source=otter,twitter,http://twitter.com/geoffreyawalker,"Aug 15, 2012 10:20 (UTC)",RT @JEcology: Data sharing in #ecology Storify from the #ESA2012 meeting  Ecologi... http://t.co/k2iwj3eJ,0,,0,0,6.74255,RT @JEcology: Data sharing in #ecology Storify from the #ESA2012 meeting  Ecologi... http://t.co/k2iwj3eJ,"Aug 15, 2012 10:20 (UTC)",1,tweet,http://twitter.com/geoffreyawalker/status/235682289206583297
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1090426329/NicWestCoast_normal.jpg,A nature nerd in praise of New Zealand's amazing natural heritage,http://a0.twimg.com/profile_images/1090426329/NicWestCoast_normal.jpg,0,Nicola Toki,naturevision,http://topsy.com/twitter/naturevision?utm_source=otter,twitter,http://twitter.com/naturevision,"Aug 09, 2012 19:49 (UTC)",RT @conservbytes: Deadly pussies kill more often than owners think http://t.co/fjdGqBMM #ESA2012 via @esa_org - #greatimages,0,,0,0,6.74347,RT @conservbytes: Deadly pussies kill more often than owners think http://t.co/fjdGqBMM #ESA2012 via @esa_org - #greatimages,"Aug 09, 2012 19:49 (UTC)",1,tweet,http://twitter.com/naturevision/status/233651342512635904
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,EREN is the Ecological Research as Education Network.  This is a collaborative group of ecologists at primarily undergraduate institutions of higher learning.,http://a0.twimg.com/profile_images/1111678088/Screen-shot-2010-08-02-at-10.25.33-AM_normal.png,0,EcoResearchEdNetwork,erenweb,http://topsy.com/twitter/erenweb?utm_source=otter,twitter,http://twitter.com/erenweb,"Aug 08, 2012 18:51 (UTC)",EREN luncheon at ESA. @ESA_org @bpohlad #ESA2012 http://t.co/OyIYlYli,0,,0,0,6.40348,EREN luncheon at ESA. @ESA_org @bpohlad #ESA2012 http://t.co/OyIYlYli,"Aug 08, 2012 18:51 (UTC)",1,tweet,http://twitter.com/erenweb/status/233274195549773824
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2188964269/logoCanal_normal.png,Canal de vÃ_deo com o objetivo de conectar sonhos entre pessoas e empresas que adoram o turÃ_smo. Um projeto experimental da [ kronedesign.com.br ],http://a0.twimg.com/profile_images/2188964269/logoCanal_normal.png,0,canaldoagente,canaldoagente,http://topsy.com/twitter/canaldoagente?utm_source=otter,twitter,http://twitter.com/canaldoagente,"Aug 07, 2012 21:47 (UTC)",#ESA2012 Explore South Africa vai reunir especialistas no destino em SP http://t.co/VDguVhIt BrasilTuris,0,,0,0,6.40584,#ESA2012 Explore South Africa vai reunir especialistas no destino em SP http://t.co/VDguVhIt BrasilTuris,"Aug 07, 2012 21:47 (UTC)",1,tweet,http://twitter.com/canaldoagente/status/232956058417655810
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1467810258/Screen_shot_2011-07-29_at_17.18.08_normal.png,"Paleobiologist, feminist, dwarf elephant expert (yes, really...!), apalling speller, science communication enthusiast, fan of the arts",http://a0.twimg.com/profile_images/1467810258/Screen_shot_2011-07-29_at_17.18.08_normal.png,0,Victoria Herridge,toriherridge,http://topsy.com/twitter/toriherridge?utm_source=otter,twitter,http://twitter.com/toriherridge,"Aug 12, 2012 14:57 (UTC)","from the #ESA2012 meeting: differing scientific values, the tensions among them &amp; how they drive a research field http://t.co/Oa3bNgG7",0,,0,0,6.40605,"from the #ESA2012 meeting: differing scientific values, the tensions among them &amp; how they drive a research field http://t.co/Oa3bNgG7","Aug 12, 2012 14:57 (UTC)",1,tweet,http://twitter.com/toriherridge/status/234664936092094465
0,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,"Practicing science synthesis and communication for UW College of the Environment. Fueled by science, yoga, wild places, husband, dogs, gardens, wonderment, joy",http://a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,0,Jen Davison,jenedavison,http://topsy.com/twitter/jenedavison?utm_source=otter,twitter,http://twitter.com/jenedavison,"Aug 08, 2012 23:23 (UTC)","Next up, Faith Kearns (http://t.co/Fdh67wmC) talks abt conflict in science communication. #ESA2012",0,,0,0,6.40725,"Next up, Faith Kearns (http://t.co/Fdh67wmC) talks abt conflict in science communication. #ESA2012","Aug 08, 2012 23:23 (UTC)",1,tweet,http://twitter.com/jenedavison/status/233342625577566209
